,0
last_activity_date,1.8771075
completed_assessments_ratio,1.3626188
weighted_average_score,0.79403037
has_unregistered,0.72612745
exam_avg_score,0.5946285
average_score,0.578488
score_std,0.26490518
activity_span_days,0.25045744
cumulative_score,0.22805782
engagement_slope,0.19872542
engagement_quiz,0.17459112
total_assessments,0.13894525
early_engagement_ratio,0.13794073
forum_engagement_ratio,0.13782123
engagement_homepage,0.13575028
tma_avg_score,0.13491727
activity_diversity,0.13258235
mean_daily_clicks,0.12901445
first_activity_date,0.12834714
total_days_active,0.123958945
learning_pace,0.12271836
engagement_oucontent,0.12061909
engagement_subpage,0.106835976
education_numeric,0.09972846
week_4_clicks,0.095490225
engagement_resource,0.095079646
std_daily_clicks,0.09498035
engagement_ouwiki,0.09165404
completed_assessments,0.09057391
registration_date,0.08833823
late_submission_ratio,0.085882805
days_before_unregistration,0.084027685
week_1_clicks,0.070689335
engagement_url,0.057764135
late_submissions,0.057512272
week_2_clicks,0.057461947
week_3_clicks,0.05715218
module_engagement_rate,0.0559997
max_daily_clicks,0.05204121
cma_avg_score,0.051243015
distinct_activities,0.0505622
engagement_forumng,0.045199275
num_of_prev_attempts,0.041053735
total_clicks,0.036742922
studied_credits,0.026666317
age_band_numeric,0.00893246
engagement_acceleration,0.0
forum_silence,0.0
late_forum_dropoff,0.0
